"r" "dlk" "km"
"494742" 0.322616202035479 0.002 2959.19832891969
"833458" 0.0324105870136029 0.94 332.048659768179
"195230" 0.469721190175057 0 4290.89834062447
"216611" 0.116948247233283 0.449 1097.34427977275
"366875" 0.111121529172109 0.485 1044.59664280681
"774652" 0.0437222611938189 0.894 434.450059127264
"321155" 0.423776301286905 0 3874.97220620901
"719553" 0.057469464203042 0.824 558.89961478013
"305944" 0.264626017105829 0.017 2434.22952312838
"435409" 0.32520519950434 0.002 2982.63579357122
"656336" 0.115887780338924 0.456 1087.74417175813
"397772" 0.289282139851071 0.007 2657.4344556306
"587785" 0.226375132322816 0.05 2087.95504013855
"673945" 0.163339753015489 0.21 1517.31351109853
"242584" 0.290731179565279 0.007 2670.55220390533
"719052" 0.312458095433556 0.003 2867.23985183634
"142290" 0.544777567607609 0 4970.36257885011
"227533" 0.243098126102049 0.031 2239.34359122164
"549501" 0.311512676226848 0.003 2858.68123812404
"550354" 0.34679714945775 0.001 3178.10163310076
"145777" 0.448802681050054 0 4101.52897117671
"788350" 0.199537645957799 0.097 1845.00283737226
"126814" 0.229451640340711 0.046 2115.8058004374
"622492" 0.329937609596641 0.002 3025.47696880948
"709099" 0.208092818731151 0.079 1922.45040612227
"418091" 0.152194188771844 0.258 1416.41585819477
"401373" 0.454946492373515 0 4157.14716410707
"594598" 0.192647823410464 0.114 1782.63121501623
"298299" 0.225201978476054 0.051 2077.33480889268
"300286" 0.179205231255636 0.153 1660.93921560597
"536271" 0.132298248563865 0.359 1236.30351705034
"391117" 0.111434273493178 0.484 1047.42782903166
"506760" 0.368950249476171 0 3378.64740606827
"845668" 0.092085178787265 0.609 872.265926147087
"606194" 0.127003496473719 0.389 1188.37161814198
"350744" 0.268371566643578 0.015 2468.13692780815
"408940" 0.340736509304168 0.001 3123.23636533836
"675868" 0.141775564521181 0.308 1322.09898823663
"144260" 0.307896782022888 0.004 2825.94756665147
"145266" 0.20909629945045 0.077 1931.53463434958
"166815" 0.301811354717006 0.005 2770.85790778292
"650309" 0.276656985392566 0.011 2543.14248937712
"168764" 0.383072405366298 0 3506.4913045113
"887087" 0.0307709244083144 0.946 317.205256167325
"566841" 0.143192225391834 0.301 1334.92361996319
"532536" 0.208930849306975 0.078 1930.03686081526
"241145" 0.177400100213853 0.159 1644.59787286924
"144056" 0.243284750622631 0.031 2241.03305042615
"678697" 0.332295825658911 0.002 3046.82523440838
"726553" 0.11656974322048 0.451 1093.91778958602
"204864" 0.099557225006014 0.56 939.9082553625
"741788" 0.292101771768725 0.007 2682.95978896722
"335675" 0.160384700776866 0.222 1490.56225575001
"265593" 0.0345143304362857 0.933 351.093256256997
"381006" 0.116642669795647 0.451 1094.57797332439
"190459" 0.479507122735535 0 4379.48763096836
"793817" 0.244152594702251 0.031 2248.88939836924
"430546" 0.278214779431099 0.011 2557.24475990911
"756485" 0.0323938649568383 0.94 331.897279699626
"579217" 0.283501075267774 0.009 2605.10010673729
"3871" 0.879702555970577 0 8002.34413545099
"855252" 0.0766315160315019 0.709 732.3682711933
"759785" 0.111301018162538 0.484 1046.22150606724
"518820" 0.235559735907601 0.039 2171.10066868622
"774643" 0.254846759965877 0.022 2345.70066348577
"587321" 0.261791159115146 0.018 2408.56635244247
"881833" 0.101560692410039 0.547 958.045081306559
"493055" 0.143219049976677 0.301 1335.16645537211
"225025" 0.238076221429618 0.036 2193.88170311277
"619151" 0.121128418407797 0.424 1135.18619167819
"401414" 0.492965713396699 0 4501.32446034899
"23082" 0.478233115035564 0 4367.95439820433
"860224" 0.234106349364429 0.04 2157.94356979358
"256215" 0.26697260683022 0.015 2455.47253876612
"333642" 0.172052401492331 0.177 1596.18666302442
"295574" 0.0343809043869258 0.933 349.885387824108
"207713" 0.267549430909429 0.015 2460.69436463857
"490787" 0.415209848915451 0 3797.42252643535
"419214" 0.20556073892477 0.084 1899.52820103297
"746630" 0.240425365654429 0.034 2215.14784392309
"812065" 0.13968524128317 0.319 1303.17588089858
"874965" 0.0982203291112492 0.569 927.805713489365
"184098" 0.415884445376215 0 3803.52945813125
"337341" 0.388493107739475 0 3555.56339584622
"242261" 0.298362284853015 0.005 2739.63445005836
"823826" 0.213780986110203 0.069 1973.94378279877
"111350" 0.0472686509657169 0.877 466.55452655882
"250985" 0.0476687861539723 0.875 470.176837682475
"105522" 0.265616487845549 0.016 2443.19597567605
"869505" 0.0320253674471961 0.942 328.561375566735
"394278" 0.214900744092833 0.067 1984.08063633061
"169281" 0.268764197657388 0.015 2471.6913057548
"323247" 0.252298173509104 0.024 2322.6290283411
"236665" 0.348627484830792 0.001 3194.67114354721
"275300" 0.277621999276189 0.011 2551.87848817886
"73664" 0.398620658789822 0 3647.24526212999
"428047" 0.248366370778468 0.027 2287.03552598182
"827094" 0.184158538819647 0.137 1705.78011341912
"283480" 0.210205219293032 0.075 1941.57337325316
"712345" 0.303614639301643 0.005 2787.18253506334
"718506" 0.152329576383916 0.257 1417.64148410224
"296698" 0.050425144184458 0.862 495.129370345593
"220407" 0.209613819476204 0.076 1936.21959733466
"379593" 0.290153433753631 0.007 2665.32203384879
"348318" 0.258679038282159 0.02 2380.39319936229
"688496" 0.167273661759536 0.194 1552.92607860387
"889064" 0.045861996639592 0.884 453.820481260588
"128784" 0.0301720393541174 0.948 311.783718503849
"200787" 0.314135496867264 0.003 2882.42489441819
"824934" 0.206976330551358 0.082 1912.34315319426
"718666" 0.268090790864122 0.015 2465.59514378358
"589591" 0.197882231238328 0.101 1830.01683431977
"522640" 0.111869489812301 0.481 1051.36771974917
"572026" 0.300844212794793 0.005 2762.10264444739
"390543" 0.300293838203943 0.005 2757.12025834107
"590979" 0.170873943713227 0.181 1585.51841677341
"599883" 0.357547066468997 0.001 3275.41760308078
"51879" 0.532657326509238 0 4860.6414509897
"587774" 0.108013028585391 0.505 1016.45626279611
"585942" 0.35671340677326 0.001 3267.87071673375
