	div	mean.sim.div	Lon	Lat	envir
749	3.688879454	4.248149427	-40	-9.7	27.13755621
750	3.688879454	4.169071756	-39	-9.7	29.11754585
751	3.713572067	4.167338729	-38	-9.7	29.26197228
752	3.688879454	4.228281787	-37	-9.7	27.0401202
753	3.663561646	4.334382875	-35.9	-9.7	20.62800125
754	4.007333185	4.418057986	-76	-10.7	10.03459889
755	4.110873864	4.403893113	-75	-10.7	7.029803526
756	4.127134385	4.399778452	-74	-10.7	6.64489672
757	4.143134726	4.416397723	-73	-10.7	7.127066781
758	4.127134385	4.431861466	-72	-10.7	8.603982529
759	4.077537444	4.444188492	-71	-10.7	10.48860926
760	4.025351691	4.447863518	-70	-10.7	11.98625607
761	4.007333185	4.452378082	-69	-10.7	12.45080472
762	3.970291914	4.4529928	-68	-10.7	11.8886473
763	3.951243719	4.426729478	-67	-10.7	9.702038031
764	3.931825633	4.416958368	-66	-10.7	8.100908642
765	3.871201011	4.407078338	-65	-10.7	7.900681089
766	3.80666249	4.392327617	-64	-10.7	6.720737872
767	3.828641396	4.391477556	-63	-10.7	6.204879828
768	3.713572067	4.3802993	-62	-10.7	6.388868045
769	3.713572067	4.381186222	-61	-10.7	6.289013407
770	3.663561646	4.378294608	-60	-10.7	6.309571715
771	3.610917913	4.375716232	-59	-10.7	6.460390226
772	3.583518938	4.368497339	-58	-10.7	6.143723181
773	3.555348061	4.367555057	-57	-10.7	5.570336426
774	3.526360525	4.364459424	-56	-10.7	5.363889553
775	3.496507561	4.365909947	-55	-10.7	5.19786826
776	3.433987204	4.364186712	-54	-10.7	5.519718071
777	3.465735903	4.380934094	-53	-10.7	6.180175307
778	3.433987204	4.378660961	-52	-10.7	7.12257505
779	3.401197382	4.390890874	-51	-10.7	8.191952577
780	3.433987204	4.399346318	-50	-10.7	9.751274315
781	3.433987204	4.416532414	-49	-10.7	11.3473937
782	3.433987204	4.405993559	-48	-10.7	11.91179699
783	3.465735903	4.416006186	-47	-10.7	11.88260074
784	3.401197382	4.409985889	-46	-10.7	13.58859477
785	3.401197382	4.388947782	-45	-10.7	17.73739951
786	3.465735903	4.400446956	-44	-10.7	15.12217544
787	3.496507561	4.413297444	-43	-10.7	11.00550385
788	3.526360525	4.386073572	-42	-10.7	17.80028374
789	3.63758616	4.306319356	-41	-10.7	23.47143981
790	3.713572067	4.248998627	-40	-10.7	26.51959766
791	3.737669618	4.22348651	-39	-10.7	27.61229764
792	3.713572067	4.25552564	-38	-10.7	25.34570101
793	4.077537444	4.404878589	-75	-11.7	7.269074588
794	4.110873864	4.413576865	-74	-11.7	7.568984021
795	4.158883083	4.433232486	-73	-11.7	7.357354381
796	4.158883083	4.440967659	-72	-11.7	9.073886709
797	4.158883083	4.462812151	-71	-11.7	11.69135665
798	4.127134385	4.47305754	-70	-11.7	14.8823861
799	4.094344562	4.474701	-69	-11.7	14.909682
800	3.988984047	4.461709642	-68	-11.7	13.42326451
801	3.931825633	4.449341955	-67	-11.7	11.60912341
802	3.871201011	4.432451822	-66	-11.7	10.03494441
803	3.871201011	4.426457831	-65	-11.7	9.275323574
804	3.828641396	4.41824692	-64	-11.7	8.421203623
805	3.784189634	4.409725829	-63	-11.7	7.801863004
806	3.80666249	4.410182537	-62	-11.7	8.035433023
807	3.713572067	4.409266077	-61	-11.7	8.617284963
808	3.610917913	4.404630603	-60	-11.7	9.119149538
809	3.555348061	4.412588477	-59	-11.7	9.845255151
810	3.526360525	4.401071306	-58	-11.7	9.948392208
811	3.496507561	4.402823101	-57	-11.7	10.06137652
812	3.496507561	4.387352484	-56	-11.7	8.621085659
813	3.433987204	4.383300188	-55	-11.7	8.31599346
814	3.433987204	4.403234117	-54	-11.7	10.14810148
815	3.401197382	4.401411688	-53	-11.7	10.86798778
816	3.401197382	4.405808737	-52	-11.7	10.47893476
817	3.433987204	4.412027057	-51	-11.7	11.41943415
818	3.433987204	4.4165573	-50	-11.7	11.86169691
819	3.465735903	4.418380587	-49	-11.7	12.00405024
820	3.465735903	4.417136982	-48	-11.7	12.56517111
821	3.496507561	4.414183301	-47	-11.7	12.29428517
822	3.433987204	4.407523462	-46	-11.7	12.51524379
823	3.433987204	4.393585986	-45	-11.7	16.70153721
824	3.465735903	4.395324922	-44	-11.7	16.56177526
825	3.526360525	4.399076171	-43	-11.7	14.1818488
826	3.526360525	4.370914622	-42	-11.7	18.87899025
827	3.63758616	4.28006987	-41	-11.7	24.24781826
828	3.713572067	4.26287053	-40	-11.7	25.66945117
829	3.713572067	4.258192214	-39	-11.7	24.93401657
830	3.713572067	4.282941276	-37.8	-11.7	23.09741682
831	3.737669618	4.41771284	-75	-12.7	11.77739057
832	3.988984047	4.419843017	-74	-12.7	8.299754124
833	4.110873864	4.42600806	-73	-12.7	7.643443102
834	4.143134726	4.459558527	-72	-12.7	12.05138617
835	4.158883083	4.467332876	-71	-12.7	12.01026956
836	4.127134385	4.474992644	-70	-12.7	14.00252507
837	4.094344562	4.474121183	-69	-12.7	15.35419062
838	3.988984047	4.463861116	-68	-12.7	16.50286448
839	3.988984047	4.46761767	-67	-12.7	15.3576458
840	3.931825633	4.453615148	-66	-12.7	13.23288422
