	Long	Lat	coords.x1	coords.x2	UID	wwf_terr_ecor_asc	wwf_biomes_asc	Morrone_Province	Morrone_Dominion	Elevation	Elev_Range	Temp	Temp_Seas	Prec	Prec_Seas	Bird_Richness_(4297)	Bothrops_Richness_(34)	Didelphidae_Richness_(94)	Hylidae_Richness_(473)	Sigmodontinae_Richness_(400)	pcps1.hylidae	pcps2.hylidae	pcps3.hylidae	pcps4.hylidae	pcps5.hylidae	pcps1.leptodactylidae	pcps2.leptodactylidae	pcps3.leptodactylidae	pcps4.leptodactylidae	pcps5.leptodactylidae	pcps1.bothrops	pcps2.bothrops	pcps3.bothrops	pcps4.bothrops	pcps5.bothrops	pcps1.didelphidae	pcps2.didelphidae	pcps3.didelphidae	pcps4.didelphidae	pcps5.didelphidae	pcps1.sigmodontinae	pcps2.sigmodontinae	pcps3.sigmodontinae	pcps4.sigmodontinae	pcps5.sigmodontinae	pcps1.tyrannidae	pcps2.tyrannidae	pcps3.tyrannidae	pcps4.tyrannidae	pcps5.tyrannidae	pcps1.furnariidae	pcps2.furnariidae	pcps3.furnariidae	pcps4.furnariidae	pcps5.furnariidae	pcps1_tyr+fur	pcps1_mean_all	pcps2.hylidae	pcps1.leptodactylidae	pcps1.bothrops	pcps1.didelphidae	pcps2.sigmodontinae	pcps1.tyrannidae	pcps1.furnariidae	pcps_mean_concordantes
21	-8463277.407	2520562.66	-87.7	20.2	169	75	1	16	13	14.113	12.972	25.734	178.38	1187.563	56.575	367	1	4	7	4	0.264244762	-0.455870182	0.116400142	0.115673471	0.213002963	-0.102370713	-0.175234047	0.01607109	-0.121702471	0.019338182	-0.169729636	-0.004608744	-0.20089292	-0.023118669	-0.045063365	-0.133448125	0.040526979	0.021764114	-0.08674715	0.025602	-0.325991482	0.207872138	0.021186378	-0.077653921	-0.079912588	0.050861897	-0.01227155	0.080230978	-0.074143884	-0.048457304	0.15750986	-0.248073917	-0.041183768	0.006005359	0.061717166	0.104185879	-0.036989062	-0.455870182	0.102370713	0.169729636	0.133448125	-0.207872138	0.050861897	0.15750986	-0.007117441
22	-10112721.12	2431850.257	-104.8	19.4	170	243	2	13	13	67.901	231.025	25.026	182.015	1259.588	114.353	411	0	2	8	5	0.21037594	-0.575602706	0.111540575	-0.005326582	0.135889962	-0.102370713	-0.175234047	0.01607109	-0.121702471	0.019338182	0.045723051	0.047992221	0.049680113	-0.109437505	-0.005967871	-0.112856353	0.050693995	0.007079976	-0.018530651	0.026065853	-0.348906453	0.321329029	-0.103416839	-0.168734316	0.131474859	-0.197250675	0.127966818	0.138130833	-0.071716673	0.078057519	0.217162142	-0.401693006	0.04015387	0.181519278	0.126588666	0.009955734	-0.041160437	-0.575602706	0.102370713	-0.045723051	0.112856353	-0.321329029	-0.197250675	0.217162142	-0.10107375
23	-10032944.94	2389210.242	-104.0	19.1	171	243	2	13	13	88.411	229.401	23.303	166.693	1025.358	111.001	466	0	2	10	5	0.21037594	-0.575602706	0.111540575	-0.005326582	0.135889962	-0.102370713	-0.175234047	0.01607109	-0.121702471	0.019338182	0.045723051	0.047992221	0.049680113	-0.109437505	-0.005967871	-0.112856353	0.050693995	0.007079976	-0.018530651	0.026065853	-0.348906453	0.321329029	-0.103416839	-0.168734316	0.131474859	-0.195348539	0.13160512	0.143530248	-0.075156347	0.080127907	0.217162142	-0.401693006	0.04015387	0.181519278	0.126588666	0.010906802	-0.040888704	-0.575602706	0.102370713	-0.045723051	0.112856353	-0.321329029	-0.195348539	0.217162142	-0.100802017
24	-9940721.694	2419317.011	-103.0	19.3	172	101	2	14	13	99.308	96.749	23.255	172.173	901.227	108.958	432	0	2	8	6	0.166758903	-0.659160073	0.125282537	0.026501474	0.074060601	-0.102370713	-0.175234047	0.01607109	-0.121702471	0.019338182	0.045723051	0.047992221	0.049680113	-0.109437505	-0.005967871	-0.112856353	0.050693995	0.007079976	-0.018530651	0.026065853	-0.35778744	0.342798174	-0.140032147	-0.203975156	0.214378827	-0.195796444	0.132140482	0.143560608	-0.074619098	0.080187788	0.217162142	-0.401693006	0.04015387	0.181519278	0.126588666	0.010682849	-0.048452408	-0.659160073	0.102370713	-0.045723051	0.112856353	-0.342798174	-0.195796444	0.217162142	-0.115869791
25	-9844235.414	2419317.011	-102.0	19.3	173	272	3	14	13	111.422	121.47	20.605	183.197	953.227	108.326	392	0	2	8	6	0.166573453	-0.65693162	0.12535175	0.025923641	0.072990824	0.110087457	0.004600077	-0.046428782	-0.011833159	-0.005664971	0.045723051	0.047992221	0.049680113	-0.109437505	-0.005967871	-0.112856353	0.050693995	0.007079976	-0.018530651	0.026065853	-0.35778744	0.342798174	-0.140032147	-0.203975156	0.214378827	-0.195297887	0.133787057	0.143531408	-0.073867089	0.078725958	0.217162142	-0.401693006	0.04015387	0.181519278	0.126588666	0.010932128	-0.018056511	-0.65693162	-0.110087457	-0.045723051	0.112856353	-0.342798174	-0.195297887	0.217162142	-0.145831385
26	-9747749.133	2419317.011	-101.0	19.3	174	101	2	14	13	108.947	94.196	21.452	193.626	1015.008	111.487	377	0	2	8	6	0.165277963	-0.653796166	0.123700575	0.026184797	0.071619443	0.110087457	0.004600077	-0.046428782	-0.011833159	-0.005664971	0.045723051	0.047992221	0.049680113	-0.109437505	-0.005967871	-0.112856353	0.050693995	0.007079976	-0.018530651	0.026065853	-0.365944603	0.353068693	-0.156136421	-0.231723435	0.268307145	-0.195907018	0.132971361	0.143209069	-0.073808242	0.079374453	0.215633446	-0.393325155	0.038890179	0.172125571	0.117169203	0.009863214	-0.019712294	-0.653796166	-0.110087457	-0.045723051	0.112856353	-0.353068693	-0.195907018	0.215633446	-0.147156084
27	-9361804.012	2419317.011	-97.0	19.3	178	92	1	15	13	105.884	169.965	17.952	197.206	1203.649	80.366	570	1	6	14	7	0.200049015	-0.613101277	0.071829374	-0.034177285	0.048130961	-0.102370713	-0.175234047	0.01607109	-0.121702471	0.019338182	-0.169729636	-0.004608744	-0.20089292	-0.023118669	-0.045063365	-0.147031857	0.040768576	-0.014399341	-0.036958639	-0.047214475	-0.335838293	0.246626267	-0.009736546	-0.096217347	-0.025121594	-0.100364486	0.015407723	0.07418839	-0.130653295	0.017549408	0.26215077	-0.175354961	0.091334573	0.096163647	0.034429472	0.080893142	-0.056162171	-0.613101277	0.102370713	0.169729636	0.147031857	-0.246626267	-0.100364486	0.26215077	-0.039829865
28	-8768984.596	2397544.471	-90.9	19.1	179	75	1	16	13	105.884	169.965	26.397	208.49	1322.541	83.69	380	1	5	7	4	0.244385195	-0.500632276	0.017490127	-0.071217562	0.096373319	0.117797463	-0.058816671	-0.104660732	-0.027518138	0.120092992	-0.169729636	-0.004608744	-0.20089292	-0.023118669	-0.045063365	-0.163689678	0.068638851	0.006560214	-0.032556472	-0.0747935	-0.325991482	0.207872138	0.021186378	-0.077653921	-0.079912588	0.067205699	0.004958741	0.071535034	-0.086308745	-0.055834792	0.15750986	-0.248073917	-0.041183768	0.006005359	0.061717166	0.11235778	-0.01035894	-0.500632276	-0.117797463	0.169729636	0.163689678	-0.207872138	0.067205699	0.15750986	-0.038309572
29	-8686400.051	2419317.011	-90.0	19.3	180	75	1	16	13	33.977	42.494	25.748	205.678	1126.724	74.061	354	1	5	8	4	0.27767674	-0.410471232	0.037758267	0.019187105	0.154732441	-0.102370713	-0.175234047	0.01607109	-0.121702471	0.019338182	-0.169729636	-0.004608744	-0.20089292	-0.023118669	-0.045063365	-0.115711823	-0.003326067	-0.046816501	-0.043992925	-0.028056494	-0.325991482	0.207872138	0.021186378	-0.077653921	-0.079912588	0.067205699	0.004958741	0.071535034	-0.086308745	-0.055834792	0.15750986	-0.248073917	-0.041183768	0.006005359	0.061717166	0.11235778	-0.030201622	-0.410471232	0.102370713	0.169729636	0.115711823	-0.207872138	0.067205699	0.15750986	-0.000830806
30	-8589913.77	2419317.011	-89.0	19.3	181	75	1	16	13	28.352	35.771	25.429	180.058	996.972	60.554	338	1	5	7	4	0.244385195	-0.500632276	0.017490127	-0.071217562	0.096373319	0.117797463	-0.058816671	-0.104660732	-0.027518138	0.120092992	-0.169729636	-0.004608744	-0.20089292	-0.023118669	-0.045063365	-0.153865403	0.079469739	0.05219148	-0.078402885	-0.003811588	-0.325991482	0.207872138	0.021186378	-0.077653921	-0.079912588	0.071140958	0.009422032	0.072396951	-0.088433428	-0.055942641	0.15750986	-0.248073917	-0.041183768	0.006005359	0.061717166	0.114325409	-0.008393292	-0.500632276	-0.117797463	0.169729636	0.153865403	-0.207872138	0.071140958	0.15750986	-0.03915086
